"Id","ActivityDate","Hour","METs"
1503960366,2016-04-12,"a-AM12",17
1503960366,2016-04-12,"b-AM1",13
1503960366,2016-04-12,"c-AM2",12
1503960366,2016-04-12,"d-AM3",10
1503960366,2016-04-12,"e-AM4",10
1503960366,2016-04-12,"f-AM5",10
1503960366,2016-04-12,"g-AM6",10
1503960366,2016-04-12,"h-AM7",10
1503960366,2016-04-12,"i-AM8",14
1503960366,2016-04-12,"j-AM9",30
1503960366,2016-04-12,"k-AM10",21
1503960366,2016-04-12,"l-AM11",16
1503960366,2016-04-12,"m-PM12",15
1503960366,2016-04-12,"n-PM1",14
1503960366,2016-04-12,"o-PM2",23
1503960366,2016-04-12,"p-PM3",32
1503960366,2016-04-12,"q-PM4",16
1503960366,2016-04-12,"r-PM5",18
1503960366,2016-04-12,"s-PM6",26
1503960366,2016-04-12,"t-PM7",22
1503960366,2016-04-12,"u-PM8",28
1503960366,2016-04-12,"v-PM9",21
1503960366,2016-04-12,"w-PM10",14
1503960366,2016-04-12,"x-PM11",17
1503960366,2016-04-13,"a-AM12",15
1503960366,2016-04-13,"b-AM1",10
1503960366,2016-04-13,"c-AM2",10
1503960366,2016-04-13,"d-AM3",11
1503960366,2016-04-13,"e-AM4",10
1503960366,2016-04-13,"f-AM5",10
1503960366,2016-04-13,"g-AM6",10
1503960366,2016-04-13,"h-AM7",12
1503960366,2016-04-13,"i-AM8",15
1503960366,2016-04-13,"j-AM9",29
1503960366,2016-04-13,"k-AM10",16
1503960366,2016-04-13,"l-AM11",18
1503960366,2016-04-13,"m-PM12",17
1503960366,2016-04-13,"n-PM1",15
1503960366,2016-04-13,"o-PM2",27
1503960366,2016-04-13,"p-PM3",17
1503960366,2016-04-13,"q-PM4",15
1503960366,2016-04-13,"r-PM5",18
1503960366,2016-04-13,"s-PM6",25
1503960366,2016-04-13,"t-PM7",15
1503960366,2016-04-13,"u-PM8",10
1503960366,2016-04-13,"v-PM9",10
1503960366,2016-04-13,"w-PM10",16
1503960366,2016-04-13,"x-PM11",29
1503960366,2016-04-14,"a-AM12",12
1503960366,2016-04-14,"b-AM1",11
1503960366,2016-04-14,"c-AM2",10
1503960366,2016-04-14,"d-AM3",10
1503960366,2016-04-14,"e-AM4",10
1503960366,2016-04-14,"f-AM5",10
1503960366,2016-04-14,"g-AM6",10
1503960366,2016-04-14,"h-AM7",10
1503960366,2016-04-14,"i-AM8",10
1503960366,2016-04-14,"j-AM9",20
1503960366,2016-04-14,"k-AM10",23
1503960366,2016-04-14,"l-AM11",14
1503960366,2016-04-14,"m-PM12",18
1503960366,2016-04-14,"n-PM1",29
1503960366,2016-04-14,"o-PM2",24
1503960366,2016-04-14,"p-PM3",14
1503960366,2016-04-14,"q-PM4",19
1503960366,2016-04-14,"r-PM5",13
1503960366,2016-04-14,"s-PM6",15
1503960366,2016-04-14,"t-PM7",12
1503960366,2016-04-14,"u-PM8",19
1503960366,2016-04-14,"v-PM9",37
1503960366,2016-04-14,"w-PM10",17
1503960366,2016-04-14,"x-PM11",10
1503960366,2016-04-15,"a-AM12",13
1503960366,2016-04-15,"b-AM1",12
1503960366,2016-04-15,"c-AM2",12
1503960366,2016-04-15,"d-AM3",10
1503960366,2016-04-15,"e-AM4",10
1503960366,2016-04-15,"f-AM5",10
1503960366,2016-04-15,"g-AM6",10
1503960366,2016-04-15,"h-AM7",10
1503960366,2016-04-15,"i-AM8",11
1503960366,2016-04-15,"j-AM9",11
1503960366,2016-04-15,"k-AM10",13
1503960366,2016-04-15,"l-AM11",18
1503960366,2016-04-15,"m-PM12",16
1503960366,2016-04-15,"n-PM1",14
1503960366,2016-04-15,"o-PM2",10
1503960366,2016-04-15,"p-PM3",10
1503960366,2016-04-15,"q-PM4",10
1503960366,2016-04-15,"r-PM5",30
1503960366,2016-04-15,"s-PM6",18
1503960366,2016-04-15,"t-PM7",20
1503960366,2016-04-15,"u-PM8",14
1503960366,2016-04-15,"v-PM9",16
1503960366,2016-04-15,"w-PM10",32
1503960366,2016-04-15,"x-PM11",38
1503960366,2016-04-16,"a-AM12",16
1503960366,2016-04-16,"b-AM1",10
1503960366,2016-04-16,"c-AM2",11
1503960366,2016-04-16,"d-AM3",10
1503960366,2016-04-16,"e-AM4",10
1503960366,2016-04-16,"f-AM5",10
1503960366,2016-04-16,"g-AM6",10
1503960366,2016-04-16,"h-AM7",12
1503960366,2016-04-16,"i-AM8",13
1503960366,2016-04-16,"j-AM9",26
1503960366,2016-04-16,"k-AM10",23
1503960366,2016-04-16,"l-AM11",31
1503960366,2016-04-16,"m-PM12",25
1503960366,2016-04-16,"n-PM1",45
1503960366,2016-04-16,"o-PM2",17
1503960366,2016-04-16,"p-PM3",11
1503960366,2016-04-16,"q-PM4",11
1503960366,2016-04-16,"r-PM5",17
1503960366,2016-04-16,"s-PM6",14
1503960366,2016-04-16,"t-PM7",14
1503960366,2016-04-16,"u-PM8",17
1503960366,2016-04-16,"v-PM9",16
1503960366,2016-04-16,"w-PM10",12
1503960366,2016-04-16,"x-PM11",12
1503960366,2016-04-17,"a-AM12",10
1503960366,2016-04-17,"b-AM1",10
1503960366,2016-04-17,"c-AM2",10
1503960366,2016-04-17,"d-AM3",10
1503960366,2016-04-17,"e-AM4",10
1503960366,2016-04-17,"f-AM5",10
1503960366,2016-04-17,"g-AM6",10
1503960366,2016-04-17,"h-AM7",10
1503960366,2016-04-17,"i-AM8",10
1503960366,2016-04-17,"j-AM9",10
1503960366,2016-04-17,"k-AM10",10
1503960366,2016-04-17,"l-AM11",13
1503960366,2016-04-17,"m-PM12",16
1503960366,2016-04-17,"n-PM1",18
1503960366,2016-04-17,"o-PM2",15
1503960366,2016-04-17,"p-PM3",15
1503960366,2016-04-17,"q-PM4",12
1503960366,2016-04-17,"r-PM5",37
1503960366,2016-04-17,"s-PM6",29
1503960366,2016-04-17,"t-PM7",20
1503960366,2016-04-17,"u-PM8",41
1503960366,2016-04-17,"v-PM9",17
1503960366,2016-04-17,"w-PM10",12
1503960366,2016-04-17,"x-PM11",11
1503960366,2016-04-18,"a-AM12",17
1503960366,2016-04-18,"b-AM1",10
1503960366,2016-04-18,"c-AM2",10
1503960366,2016-04-18,"d-AM3",10
1503960366,2016-04-18,"e-AM4",10
1503960366,2016-04-18,"f-AM5",10
1503960366,2016-04-18,"g-AM6",10
1503960366,2016-04-18,"h-AM7",10
1503960366,2016-04-18,"i-AM8",10
1503960366,2016-04-18,"j-AM9",28
1503960366,2016-04-18,"k-AM10",17
1503960366,2016-04-18,"l-AM11",15
1503960366,2016-04-18,"m-PM12",25
1503960366,2016-04-18,"n-PM1",15
1503960366,2016-04-18,"o-PM2",14
1503960366,2016-04-18,"p-PM3",17
1503960366,2016-04-18,"q-PM4",17
1503960366,2016-04-18,"r-PM5",17
1503960366,2016-04-18,"s-PM6",50
1503960366,2016-04-18,"t-PM7",33
1503960366,2016-04-18,"u-PM8",12
1503960366,2016-04-18,"v-PM9",14
1503960366,2016-04-18,"w-PM10",18
1503960366,2016-04-18,"x-PM11",18
1503960366,2016-04-19,"a-AM12",10
1503960366,2016-04-19,"b-AM1",10
1503960366,2016-04-19,"c-AM2",10
1503960366,2016-04-19,"d-AM3",11
1503960366,2016-04-19,"e-AM4",10
1503960366,2016-04-19,"f-AM5",10
1503960366,2016-04-19,"g-AM6",10
1503960366,2016-04-19,"h-AM7",16
1503960366,2016-04-19,"i-AM8",28
1503960366,2016-04-19,"j-AM9",17
1503960366,2016-04-19,"k-AM10",16
1503960366,2016-04-19,"l-AM11",15
1503960366,2016-04-19,"m-PM12",30
1503960366,2016-04-19,"n-PM1",36
1503960366,2016-04-19,"o-PM2",16
1503960366,2016-04-19,"p-PM3",15
1503960366,2016-04-19,"q-PM4",15
1503960366,2016-04-19,"r-PM5",19
1503960366,2016-04-19,"s-PM6",25
1503960366,2016-04-19,"t-PM7",20
1503960366,2016-04-19,"u-PM8",34
1503960366,2016-04-19,"v-PM9",20
1503960366,2016-04-19,"w-PM10",12
1503960366,2016-04-19,"x-PM11",25
1503960366,2016-04-20,"a-AM12",11
1503960366,2016-04-20,"b-AM1",11
1503960366,2016-04-20,"c-AM2",10
1503960366,2016-04-20,"d-AM3",10
1503960366,2016-04-20,"e-AM4",10
1503960366,2016-04-20,"f-AM5",10
1503960366,2016-04-20,"g-AM6",10
1503960366,2016-04-20,"h-AM7",11
1503960366,2016-04-20,"i-AM8",15
1503960366,2016-04-20,"j-AM9",30
1503960366,2016-04-20,"k-AM10",17
1503960366,2016-04-20,"l-AM11",12
1503960366,2016-04-20,"m-PM12",14
1503960366,2016-04-20,"n-PM1",13
1503960366,2016-04-20,"o-PM2",24
1503960366,2016-04-20,"p-PM3",20
1503960366,2016-04-20,"q-PM4",15
1503960366,2016-04-20,"r-PM5",12
1503960366,2016-04-20,"s-PM6",24
1503960366,2016-04-20,"t-PM7",25
1503960366,2016-04-20,"u-PM8",17
1503960366,2016-04-20,"v-PM9",18
1503960366,2016-04-20,"w-PM10",13
1503960366,2016-04-20,"x-PM11",25
