"Id","ActivityDate","Hour","Calories"
1503960366,2016-04-12,"a-AM12",81
1503960366,2016-04-12,"b-AM1",61
1503960366,2016-04-12,"c-AM2",59
1503960366,2016-04-12,"d-AM3",47
1503960366,2016-04-12,"e-AM4",48
1503960366,2016-04-12,"f-AM5",48
1503960366,2016-04-12,"g-AM6",48
1503960366,2016-04-12,"h-AM7",47
1503960366,2016-04-12,"i-AM8",68
1503960366,2016-04-12,"j-AM9",141
1503960366,2016-04-12,"k-AM10",99
1503960366,2016-04-12,"l-AM11",76
1503960366,2016-04-12,"m-PM12",73
1503960366,2016-04-12,"n-PM1",66
1503960366,2016-04-12,"o-PM2",110
1503960366,2016-04-12,"p-PM3",151
1503960366,2016-04-12,"q-PM4",76
1503960366,2016-04-12,"r-PM5",83
1503960366,2016-04-12,"s-PM6",124
1503960366,2016-04-12,"t-PM7",104
1503960366,2016-04-12,"u-PM8",132
1503960366,2016-04-12,"v-PM9",100
1503960366,2016-04-12,"w-PM10",65
1503960366,2016-04-12,"x-PM11",81
1503960366,2016-04-13,"a-AM12",69
1503960366,2016-04-13,"b-AM1",48
1503960366,2016-04-13,"c-AM2",47
1503960366,2016-04-13,"d-AM3",53
1503960366,2016-04-13,"e-AM4",47
1503960366,2016-04-13,"f-AM5",47
1503960366,2016-04-13,"g-AM6",48
1503960366,2016-04-13,"h-AM7",59
1503960366,2016-04-13,"i-AM8",69
1503960366,2016-04-13,"j-AM9",136
1503960366,2016-04-13,"k-AM10",77
1503960366,2016-04-13,"l-AM11",84
1503960366,2016-04-13,"m-PM12",82
1503960366,2016-04-13,"n-PM1",72
1503960366,2016-04-13,"o-PM2",128
1503960366,2016-04-13,"p-PM3",79
1503960366,2016-04-13,"q-PM4",71
1503960366,2016-04-13,"r-PM5",87
1503960366,2016-04-13,"s-PM6",118
1503960366,2016-04-13,"t-PM7",73
1503960366,2016-04-13,"u-PM8",47
1503960366,2016-04-13,"v-PM9",48
1503960366,2016-04-13,"w-PM10",74
1503960366,2016-04-13,"x-PM11",135
1503960366,2016-04-14,"a-AM12",56
1503960366,2016-04-14,"b-AM1",54
1503960366,2016-04-14,"c-AM2",47
1503960366,2016-04-14,"d-AM3",47
1503960366,2016-04-14,"e-AM4",47
1503960366,2016-04-14,"f-AM5",47
1503960366,2016-04-14,"g-AM6",47
1503960366,2016-04-14,"h-AM7",47
1503960366,2016-04-14,"i-AM8",47
1503960366,2016-04-14,"j-AM9",93
1503960366,2016-04-14,"k-AM10",109
1503960366,2016-04-14,"l-AM11",64
1503960366,2016-04-14,"m-PM12",85
1503960366,2016-04-14,"n-PM1",137
1503960366,2016-04-14,"o-PM2",113
1503960366,2016-04-14,"p-PM3",66
1503960366,2016-04-14,"q-PM4",88
1503960366,2016-04-14,"r-PM5",61
1503960366,2016-04-14,"s-PM6",72
1503960366,2016-04-14,"t-PM7",55
1503960366,2016-04-14,"u-PM8",91
1503960366,2016-04-14,"v-PM9",174
1503960366,2016-04-14,"w-PM10",79
1503960366,2016-04-14,"x-PM11",50
1503960366,2016-04-15,"a-AM12",60
1503960366,2016-04-15,"b-AM1",58
1503960366,2016-04-15,"c-AM2",59
1503960366,2016-04-15,"d-AM3",47
1503960366,2016-04-15,"e-AM4",47
1503960366,2016-04-15,"f-AM5",49
1503960366,2016-04-15,"g-AM6",47
1503960366,2016-04-15,"h-AM7",49
1503960366,2016-04-15,"i-AM8",54
1503960366,2016-04-15,"j-AM9",50
1503960366,2016-04-15,"k-AM10",63
1503960366,2016-04-15,"l-AM11",84
1503960366,2016-04-15,"m-PM12",74
1503960366,2016-04-15,"n-PM1",67
1503960366,2016-04-15,"o-PM2",47
1503960366,2016-04-15,"p-PM3",47
1503960366,2016-04-15,"q-PM4",47
1503960366,2016-04-15,"r-PM5",140
1503960366,2016-04-15,"s-PM6",87
1503960366,2016-04-15,"t-PM7",97
1503960366,2016-04-15,"u-PM8",64
1503960366,2016-04-15,"v-PM9",75
1503960366,2016-04-15,"w-PM10",151
1503960366,2016-04-15,"x-PM11",182
1503960366,2016-04-16,"a-AM12",77
1503960366,2016-04-16,"b-AM1",48
1503960366,2016-04-16,"c-AM2",52
1503960366,2016-04-16,"d-AM3",48
1503960366,2016-04-16,"e-AM4",49
1503960366,2016-04-16,"f-AM5",49
1503960366,2016-04-16,"g-AM6",48
1503960366,2016-04-16,"h-AM7",54
1503960366,2016-04-16,"i-AM8",62
1503960366,2016-04-16,"j-AM9",124
1503960366,2016-04-16,"k-AM10",110
1503960366,2016-04-16,"l-AM11",147
1503960366,2016-04-16,"m-PM12",119
1503960366,2016-04-16,"n-PM1",214
1503960366,2016-04-16,"o-PM2",82
1503960366,2016-04-16,"p-PM3",51
1503960366,2016-04-16,"q-PM4",54
1503960366,2016-04-16,"r-PM5",79
1503960366,2016-04-16,"s-PM6",65
1503960366,2016-04-16,"t-PM7",67
1503960366,2016-04-16,"u-PM8",81
1503960366,2016-04-16,"v-PM9",75
1503960366,2016-04-16,"w-PM10",55
1503960366,2016-04-16,"x-PM11",56
1503960366,2016-04-17,"a-AM12",47
1503960366,2016-04-17,"b-AM1",48
1503960366,2016-04-17,"c-AM2",47
1503960366,2016-04-17,"d-AM3",49
1503960366,2016-04-17,"e-AM4",48
1503960366,2016-04-17,"f-AM5",48
1503960366,2016-04-17,"g-AM6",48
1503960366,2016-04-17,"h-AM7",48
1503960366,2016-04-17,"i-AM8",48
1503960366,2016-04-17,"j-AM9",48
1503960366,2016-04-17,"k-AM10",47
1503960366,2016-04-17,"l-AM11",63
1503960366,2016-04-17,"m-PM12",76
1503960366,2016-04-17,"n-PM1",83
1503960366,2016-04-17,"o-PM2",69
1503960366,2016-04-17,"p-PM3",73
1503960366,2016-04-17,"q-PM4",57
1503960366,2016-04-17,"r-PM5",174
1503960366,2016-04-17,"s-PM6",136
1503960366,2016-04-17,"t-PM7",95
1503960366,2016-04-17,"u-PM8",191
1503960366,2016-04-17,"v-PM9",79
1503960366,2016-04-17,"w-PM10",58
1503960366,2016-04-17,"x-PM11",50
1503960366,2016-04-18,"a-AM12",82
1503960366,2016-04-18,"b-AM1",48
1503960366,2016-04-18,"c-AM2",47
1503960366,2016-04-18,"d-AM3",47
1503960366,2016-04-18,"e-AM4",47
1503960366,2016-04-18,"f-AM5",47
1503960366,2016-04-18,"g-AM6",47
1503960366,2016-04-18,"h-AM7",47
1503960366,2016-04-18,"i-AM8",47
1503960366,2016-04-18,"j-AM9",133
1503960366,2016-04-18,"k-AM10",81
1503960366,2016-04-18,"l-AM11",73
1503960366,2016-04-18,"m-PM12",118
1503960366,2016-04-18,"n-PM1",70
1503960366,2016-04-18,"o-PM2",64
1503960366,2016-04-18,"p-PM3",80
1503960366,2016-04-18,"q-PM4",78
1503960366,2016-04-18,"r-PM5",79
1503960366,2016-04-18,"s-PM6",234
1503960366,2016-04-18,"t-PM7",157
1503960366,2016-04-18,"u-PM8",57
1503960366,2016-04-18,"v-PM9",68
1503960366,2016-04-18,"w-PM10",86
1503960366,2016-04-18,"x-PM11",83
1503960366,2016-04-19,"a-AM12",47
1503960366,2016-04-19,"b-AM1",49
1503960366,2016-04-19,"c-AM2",47
1503960366,2016-04-19,"d-AM3",50
1503960366,2016-04-19,"e-AM4",47
1503960366,2016-04-19,"f-AM5",47
1503960366,2016-04-19,"g-AM6",49
1503960366,2016-04-19,"h-AM7",75
1503960366,2016-04-19,"i-AM8",130
1503960366,2016-04-19,"j-AM9",79
1503960366,2016-04-19,"k-AM10",75
1503960366,2016-04-19,"l-AM11",72
1503960366,2016-04-19,"m-PM12",143
1503960366,2016-04-19,"n-PM1",171
1503960366,2016-04-19,"o-PM2",76
1503960366,2016-04-19,"p-PM3",72
1503960366,2016-04-19,"q-PM4",71
1503960366,2016-04-19,"r-PM5",90
1503960366,2016-04-19,"s-PM6",120
1503960366,2016-04-19,"t-PM7",93
1503960366,2016-04-19,"u-PM8",159
1503960366,2016-04-19,"v-PM9",94
1503960366,2016-04-19,"w-PM10",58
1503960366,2016-04-19,"x-PM11",120
1503960366,2016-04-20,"a-AM12",54
1503960366,2016-04-20,"b-AM1",53
1503960366,2016-04-20,"c-AM2",47
1503960366,2016-04-20,"d-AM3",48
1503960366,2016-04-20,"e-AM4",48
1503960366,2016-04-20,"f-AM5",47
1503960366,2016-04-20,"g-AM6",48
1503960366,2016-04-20,"h-AM7",51
1503960366,2016-04-20,"i-AM8",70
1503960366,2016-04-20,"j-AM9",144
1503960366,2016-04-20,"k-AM10",79
1503960366,2016-04-20,"l-AM11",58
1503960366,2016-04-20,"m-PM12",64
1503960366,2016-04-20,"n-PM1",61
1503960366,2016-04-20,"o-PM2",113
1503960366,2016-04-20,"p-PM3",97
1503960366,2016-04-20,"q-PM4",70
1503960366,2016-04-20,"r-PM5",57
1503960366,2016-04-20,"s-PM6",114
1503960366,2016-04-20,"t-PM7",117
1503960366,2016-04-20,"u-PM8",80
1503960366,2016-04-20,"v-PM9",83
1503960366,2016-04-20,"w-PM10",62
1503960366,2016-04-20,"x-PM11",120
1503960366,2016-04-21,"a-AM12",54
1503960366,2016-04-21,"b-AM1",61
1503960366,2016-04-21,"c-AM2",55
1503960366,2016-04-21,"d-AM3",48
1503960366,2016-04-21,"e-AM4",47
1503960366,2016-04-21,"f-AM5",47
1503960366,2016-04-21,"g-AM6",48
1503960366,2016-04-21,"h-AM7",52
1503960366,2016-04-21,"i-AM8",71
1503960366,2016-04-21,"j-AM9",133
1503960366,2016-04-21,"k-AM10",77
1503960366,2016-04-21,"l-AM11",55
1503960366,2016-04-21,"m-PM12",73
1503960366,2016-04-21,"n-PM1",113
1503960366,2016-04-21,"o-PM2",58
1503960366,2016-04-21,"p-PM3",68
1503960366,2016-04-21,"q-PM4",60
1503960366,2016-04-21,"r-PM5",60
1503960366,2016-04-21,"s-PM6",69
1503960366,2016-04-21,"t-PM7",64
1503960366,2016-04-21,"u-PM8",213
1503960366,2016-04-21,"v-PM9",104
1503960366,2016-04-21,"w-PM10",63
1503960366,2016-04-21,"x-PM11",84
1503960366,2016-04-22,"a-AM12",47
1503960366,2016-04-22,"b-AM1",47
1503960366,2016-04-22,"c-AM2",47
1503960366,2016-04-22,"d-AM3",47
1503960366,2016-04-22,"e-AM4",47
1503960366,2016-04-22,"f-AM5",47
1503960366,2016-04-22,"g-AM6",47
1503960366,2016-04-22,"h-AM7",47
1503960366,2016-04-22,"i-AM8",47
1503960366,2016-04-22,"j-AM9",65
1503960366,2016-04-22,"k-AM10",54
1503960366,2016-04-22,"l-AM11",102
1503960366,2016-04-22,"m-PM12",57
1503960366,2016-04-22,"n-PM1",60
1503960366,2016-04-22,"o-PM2",54
1503960366,2016-04-22,"p-PM3",66
1503960366,2016-04-22,"q-PM4",58
1503960366,2016-04-22,"r-PM5",104
1503960366,2016-04-22,"s-PM6",87
1503960366,2016-04-22,"t-PM7",82
1503960366,2016-04-22,"u-PM8",71
1503960366,2016-04-22,"v-PM9",311
1503960366,2016-04-22,"w-PM10",95
1503960366,2016-04-22,"x-PM11",136
1503960366,2016-04-23,"a-AM12",63
1503960366,2016-04-23,"b-AM1",47
1503960366,2016-04-23,"c-AM2",49
1503960366,2016-04-23,"d-AM3",47
1503960366,2016-04-23,"e-AM4",47
1503960366,2016-04-23,"f-AM5",48
1503960366,2016-04-23,"g-AM6",50
1503960366,2016-04-23,"h-AM7",48
1503960366,2016-04-23,"i-AM8",59
1503960366,2016-04-23,"j-AM9",75
1503960366,2016-04-23,"k-AM10",56
1503960366,2016-04-23,"l-AM11",84
1503960366,2016-04-23,"m-PM12",129
1503960366,2016-04-23,"n-PM1",129
1503960366,2016-04-23,"o-PM2",78
1503960366,2016-04-23,"p-PM3",73
1503960366,2016-04-23,"q-PM4",140
1503960366,2016-04-23,"r-PM5",121
1503960366,2016-04-23,"s-PM6",173
1503960366,2016-04-23,"t-PM7",51
1503960366,2016-04-23,"u-PM8",63
1503960366,2016-04-23,"v-PM9",162
1503960366,2016-04-23,"w-PM10",96
1503960366,2016-04-23,"x-PM11",60
1503960366,2016-04-24,"a-AM12",66
1503960366,2016-04-24,"b-AM1",54
1503960366,2016-04-24,"c-AM2",48
1503960366,2016-04-24,"d-AM3",48
1503960366,2016-04-24,"e-AM4",49
1503960366,2016-04-24,"f-AM5",48
1503960366,2016-04-24,"g-AM6",49
1503960366,2016-04-24,"h-AM7",47
1503960366,2016-04-24,"i-AM8",49
1503960366,2016-04-24,"j-AM9",59
1503960366,2016-04-24,"k-AM10",90
1503960366,2016-04-24,"l-AM11",67
1503960366,2016-04-24,"m-PM12",82
1503960366,2016-04-24,"n-PM1",74
1503960366,2016-04-24,"o-PM2",52
1503960366,2016-04-24,"p-PM3",52
1503960366,2016-04-24,"q-PM4",102
1503960366,2016-04-24,"r-PM5",86
1503960366,2016-04-24,"s-PM6",115
1503960366,2016-04-24,"t-PM7",270
1503960366,2016-04-24,"u-PM8",76
1503960366,2016-04-24,"v-PM9",74
1503960366,2016-04-24,"w-PM10",61
1503960366,2016-04-24,"x-PM11",72
1503960366,2016-04-25,"a-AM12",62
1503960366,2016-04-25,"b-AM1",53
1503960366,2016-04-25,"c-AM2",57
1503960366,2016-04-25,"d-AM3",47
1503960366,2016-04-25,"e-AM4",50
1503960366,2016-04-25,"f-AM5",49
1503960366,2016-04-25,"g-AM6",47
1503960366,2016-04-25,"h-AM7",52
1503960366,2016-04-25,"i-AM8",83
1503960366,2016-04-25,"j-AM9",146
1503960366,2016-04-25,"k-AM10",73
1503960366,2016-04-25,"l-AM11",121
1503960366,2016-04-25,"m-PM12",92
1503960366,2016-04-25,"n-PM1",75
1503960366,2016-04-25,"o-PM2",62
1503960366,2016-04-25,"p-PM3",76
1503960366,2016-04-25,"q-PM4",71
1503960366,2016-04-25,"r-PM5",67
1503960366,2016-04-25,"s-PM6",61
1503960366,2016-04-25,"t-PM7",182
1503960366,2016-04-25,"u-PM8",95
1503960366,2016-04-25,"v-PM9",267
1503960366,2016-04-25,"w-PM10",68
1503960366,2016-04-25,"x-PM11",54
1503960366,2016-04-26,"a-AM12",56
1503960366,2016-04-26,"b-AM1",66
1503960366,2016-04-26,"c-AM2",51
1503960366,2016-04-26,"d-AM3",64
1503960366,2016-04-26,"e-AM4",48
1503960366,2016-04-26,"f-AM5",49
1503960366,2016-04-26,"g-AM6",48
1503960366,2016-04-26,"h-AM7",52
1503960366,2016-04-26,"i-AM8",67
1503960366,2016-04-26,"j-AM9",139
1503960366,2016-04-26,"k-AM10",92
1503960366,2016-04-26,"l-AM11",78
1503960366,2016-04-26,"m-PM12",74
1503960366,2016-04-26,"n-PM1",126
1503960366,2016-04-26,"o-PM2",142
1503960366,2016-04-26,"p-PM3",74
1503960366,2016-04-26,"q-PM4",93
1503960366,2016-04-26,"r-PM5",60
1503960366,2016-04-26,"s-PM6",169
1503960366,2016-04-26,"t-PM7",73
