"Id","METs"
1503960366,11943
1624580081,9192
1644430081,9982
1844505072,8687
1927972279,7831
2022484408,12459
2026352035,10241
2320127002,9670
2347167796,6506
2873212765,11253
3372868164,6865
3977333714,10739
4020332650,8924
4057192912,1062
4319703577,10179
4388161847,12030
4445114986,9803
4558609924,11290
4702921684,10902
5553957443,10573
5577150313,13244
6117666160,9707
6290855005,8775
6775888955,7226
6962181067,11404
7007744171,10190
7086361926,11670
8053475328,12506
8253242879,5703
8378563200,11748
8583815059,9442
8792009665,8077
8877689391,14432
