"Id","ActivityDate","Hour","Value"
2022484408,2016-04-12,"h-AM7",83
2022484408,2016-04-12,"i-AM8",69
2022484408,2016-04-12,"j-AM9",66
2022484408,2016-04-12,"k-AM10",107
2022484408,2016-04-12,"l-AM11",68
2022484408,2016-04-12,"m-PM12",66
2022484408,2016-04-12,"n-PM1",84
2022484408,2016-04-12,"o-PM2",81
2022484408,2016-04-12,"p-PM3",68
2022484408,2016-04-12,"q-PM4",71
2022484408,2016-04-12,"r-PM5",70
2022484408,2016-04-12,"s-PM6",76
2022484408,2016-04-12,"t-PM7",75
2022484408,2016-04-13,"h-AM7",79
2022484408,2016-04-13,"i-AM8",76
2022484408,2016-04-13,"j-AM9",118
2022484408,2016-04-13,"k-AM10",69
2022484408,2016-04-13,"l-AM11",72
2022484408,2016-04-13,"m-PM12",81
2022484408,2016-04-13,"n-PM1",70
2022484408,2016-04-13,"o-PM2",87
2022484408,2016-04-13,"p-PM3",72
2022484408,2016-04-13,"q-PM4",71
2022484408,2016-04-13,"r-PM5",74
2022484408,2016-04-13,"s-PM6",86
2022484408,2016-04-13,"t-PM7",82
2022484408,2016-04-14,"h-AM7",88
2022484408,2016-04-14,"i-AM8",71
2022484408,2016-04-14,"j-AM9",69
2022484408,2016-04-14,"k-AM10",64
2022484408,2016-04-14,"l-AM11",66
2022484408,2016-04-14,"m-PM12",72
2022484408,2016-04-14,"n-PM1",70
2022484408,2016-04-14,"o-PM2",87
2022484408,2016-04-14,"p-PM3",64
2022484408,2016-04-14,"q-PM4",69
2022484408,2016-04-14,"r-PM5",69
2022484408,2016-04-14,"s-PM6",87
2022484408,2016-04-14,"t-PM7",71
2022484408,2016-04-14,"u-PM8",74
2022484408,2016-04-15,"h-AM7",91
2022484408,2016-04-15,"i-AM8",73
2022484408,2016-04-15,"j-AM9",117
2022484408,2016-04-15,"k-AM10",83
2022484408,2016-04-15,"l-AM11",77
2022484408,2016-04-15,"m-PM12",70
2022484408,2016-04-15,"n-PM1",83
2022484408,2016-04-15,"o-PM2",82
2022484408,2016-04-15,"p-PM3",73
2022484408,2016-04-15,"q-PM4",80
2022484408,2016-04-15,"r-PM5",72
2022484408,2016-04-15,"s-PM6",68
2022484408,2016-04-15,"t-PM7",73
2022484408,2016-04-16,"h-AM7",94
2022484408,2016-04-16,"i-AM8",91
2022484408,2016-04-16,"j-AM9",102
2022484408,2016-04-16,"k-AM10",68
2022484408,2016-04-16,"l-AM11",68
2022484408,2016-04-16,"m-PM12",67
2022484408,2016-04-16,"n-PM1",76
2022484408,2016-04-16,"o-PM2",72
2022484408,2016-04-16,"p-PM3",68
2022484408,2016-04-16,"q-PM4",70
2022484408,2016-04-16,"u-PM8",73
2022484408,2016-04-16,"v-PM9",73
2022484408,2016-04-17,"i-AM8",77
2022484408,2016-04-17,"j-AM9",114
2022484408,2016-04-17,"k-AM10",99
2022484408,2016-04-17,"l-AM11",91
2022484408,2016-04-17,"m-PM12",72
2022484408,2016-04-17,"n-PM1",78
2022484408,2016-04-17,"o-PM2",85
2022484408,2016-04-17,"p-PM3",77
2022484408,2016-04-17,"q-PM4",76
2022484408,2016-04-17,"r-PM5",80
2022484408,2016-04-17,"s-PM6",79
2022484408,2016-04-17,"t-PM7",73
2022484408,2016-04-17,"u-PM8",74
2022484408,2016-04-18,"g-AM6",71
2022484408,2016-04-18,"h-AM7",86
2022484408,2016-04-18,"i-AM8",79
2022484408,2016-04-18,"j-AM9",127
2022484408,2016-04-18,"k-AM10",84
2022484408,2016-04-18,"l-AM11",74
2022484408,2016-04-18,"m-PM12",69
2022484408,2016-04-18,"n-PM1",71
2022484408,2016-04-18,"o-PM2",88
2022484408,2016-04-18,"p-PM3",75
2022484408,2016-04-18,"q-PM4",85
2022484408,2016-04-18,"r-PM5",79
2022484408,2016-04-18,"s-PM6",77
2022484408,2016-04-18,"t-PM7",79
2022484408,2016-04-18,"u-PM8",70
2022484408,2016-04-19,"j-AM9",74
2022484408,2016-04-19,"k-AM10",70
2022484408,2016-04-19,"l-AM11",71
2022484408,2016-04-19,"m-PM12",71
2022484408,2016-04-19,"n-PM1",79
2022484408,2016-04-19,"o-PM2",90
2022484408,2016-04-19,"p-PM3",82
2022484408,2016-04-19,"q-PM4",116
2022484408,2016-04-19,"r-PM5",81
2022484408,2016-04-19,"s-PM6",85
2022484408,2016-04-19,"t-PM7",81
2022484408,2016-04-20,"g-AM6",68
2022484408,2016-04-20,"h-AM7",79
2022484408,2016-04-20,"i-AM8",77
2022484408,2016-04-20,"j-AM9",126
2022484408,2016-04-20,"k-AM10",70
2022484408,2016-04-20,"l-AM11",73
2022484408,2016-04-20,"m-PM12",91
2022484408,2016-04-20,"n-PM1",78
2022484408,2016-04-20,"o-PM2",94
2022484408,2016-04-20,"p-PM3",84
2022484408,2016-04-20,"q-PM4",80
2022484408,2016-04-20,"r-PM5",80
2022484408,2016-04-20,"s-PM6",85
2022484408,2016-04-20,"t-PM7",76
2022484408,2016-04-20,"u-PM8",79
2022484408,2016-04-21,"h-AM7",86
2022484408,2016-04-21,"i-AM8",63
2022484408,2016-04-21,"j-AM9",66
2022484408,2016-04-21,"k-AM10",106
2022484408,2016-04-21,"l-AM11",93
2022484408,2016-04-21,"m-PM12",95
2022484408,2016-04-21,"n-PM1",78
2022484408,2016-04-21,"o-PM2",101
2022484408,2016-04-21,"p-PM3",84
2022484408,2016-04-21,"q-PM4",108
2022484408,2016-04-21,"r-PM5",94
2022484408,2016-04-21,"s-PM6",77
2022484408,2016-04-21,"t-PM7",75
2022484408,2016-04-21,"u-PM8",75
2022484408,2016-04-21,"v-PM9",68
2022484408,2016-04-21,"w-PM10",70
2022484408,2016-04-22,"g-AM6",66
2022484408,2016-04-22,"h-AM7",84
2022484408,2016-04-22,"i-AM8",73
2022484408,2016-04-22,"j-AM9",120
2022484408,2016-04-22,"k-AM10",91
2022484408,2016-04-22,"l-AM11",75
2022484408,2016-04-22,"m-PM12",81
2022484408,2016-04-22,"n-PM1",87
2022484408,2016-04-22,"o-PM2",87
2022484408,2016-04-22,"p-PM3",70
2022484408,2016-04-22,"q-PM4",66
