"Id","meanHrtRate"
2022484408,80
2026352035,89
2347167796,75
4020332650,83
4388161847,65
4558609924,80
5553957443,66
5577150313,67
6117666160,83
6775888955,89
6962181067,75
7007744171,90
8792009665,72
8877689391,76
